股票代码,股票名称,当前价格,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300848,美瑞新材,49.01,-0.32,-0.65,2.34,633900,30917025,3.8,36.217,0,3267496700
SZ002002,鸿达兴业,3.07,-0.02,-0.65,2.33,68196445,207785991.98,2.64,10.944,1.953,7953534797
SZ300531,优博讯,15.23,-0.1,-0.65,-4.69,7405616,114078702.76,2.56,49.562,0.21,4920099155
SZ000797,中国武夷,3.05,-0.02,-0.65,-3.79,5344356,16312129.24,0.34,53.232,1.64,4791544550
SH600555,*ST海创,1.53,-0.01,-0.65,3.38,10974542,16773295,1.13,,0,1994355000
SH688299,长阳科技,24.59,-0.16,-0.65,-1.56,1488785,36705280,0.67,38.473,,6948361308
SH600603,广汇物流,4.56,-0.03,-0.65,-5.59,1879092,8589657,0.15,6.584,10.99,5732042422
SZ000910,大亚圣象,13.73,-0.09,-0.65,-1.65,8825277,120548412.2,1.61,11.058,0.956,7515767675
SZ002639,雪人股份,6.16,-0.04,-0.65,-6.81,7719800,47147831,1.38,,0,4152288245
SH603655,朗博科技,18.4,-0.12,-0.65,-14.66,3090643,56954093,2.92,77.243,0.38,1950400000
SH601718,际华集团,3.05,-0.02,-0.65,0.66,20963900,64051933,0.48,279.423,0.984,13394469682
SZ003003,天元股份,13.82,-0.09,-0.65,-7.19,1744656,24147906.04,3.95,35.731,0,2442270400
SH600589,广东榕泰,3.04,-0.02,-0.65,-6.75,4242552,12894452,0.6,,0,2140261174
SZ000965,天保基建,3.08,-0.02,-0.65,-12.99,5023428,15474087.39,0.45,10.649,0.649,3418279157
SH600577,精达股份,3.08,-0.02,-0.65,-0.96,9431890,28984423,0.49,13.734,3.896,5917927988
SH600336,澳柯玛,7.67,-0.05,-0.65,-22.91,19490185,148794283,2.49,28.498,1.043,6129735673
SH600637,东方明珠,9.06,-0.06,-0.66,1.34,8784966,79440390,0.26,15.045,2.98,30935371821
SH601616,广电电气,3.01,-0.02,-0.66,-7.67,4347940,13071513,0.46,14.389,1.661,2816080750
SZ002115,三维通信,5.98,-0.04,-0.66,-1.81,7297300,43659759.42,1.14,191.019,0.839,4287438256
SZ002137,麦达数字,6,-0.04,-0.66,-3.54,3772372,22735306.99,0.99,6067.773,0,3465029124
SZ300165,天瑞仪器,4.54,-0.03,-0.66,-8.47,4035020,18314936.36,1.35,95.256,0.409,2256338550
SZ200505,京粮B,3,-0.02,-0.66,-0.99,267900,802187,0.41,11.183,0,2180850753
SH600868,梅雁吉祥,2.99,-0.02,-0.66,-3.24,11073201,33149182,0.58,166.616,0.334,5675464550
SZ000151,中成股份,7.57,-0.05,-0.66,-6.89,916900,6958427,0.34,147.576,0.264,2240568600
SZ002551,尚荣医疗,6.01,-0.04,-0.66,-7.54,7124136,42873614.46,1.27,37.855,0,4929844192
SH600400,红豆股份,2.96,-0.02,-0.67,-6.33,4139343,12232675,0.16,48.233,1.689,7498440460
SZ300829,金丹科技,117.9,-0.8,-0.67,27.36,1987386,230112727.31,7.02,107.316,0,13311981947
SZ200152,山航B,5.92,-0.04,-0.67,-3.27,99500,590144.8,0.07,,0,2368000000
SH603078,江化微,33.87,-0.23,-0.67,-1.2,1331565,45300170,0.94,115.493,0.214,5105830628
SH603606,东方电缆,25.1,-0.17,-0.67,0.6,15267454,384038316,2.33,21.514,0.518,16418023477
SH601238,广汽集团,11.88,-0.08,-0.67,-10.61,78384168,938079306,1.1,23.267,1.499,122954398186
SH900915,中路B股,0.448,-0.003,-0.67,0.67,112590,50760,0.13,,0,144008664
SH600744,华银电力,2.95,-0.02,-0.67,-4.84,22127038,64321386,2.67,47.85,0,5254316608
SH603042,华脉科技,13.06,-0.09,-0.68,-6.31,1394500,18109615,1.03,54.575,0.406,1776160000
SZ002537,海联金汇,5.88,-0.04,-0.68,-20.11,14443458,83855115,1.17,,0,7278471205
SH603269,海鸥股份,10.28,-0.07,-0.68,-9.82,349399,3595970,0.31,34.429,1.582,1156693942
SZ000756,新华制药,8.81,-0.06,-0.68,-6.08,1149080,10129423.3,0.27,18.129,1.35,5527107208
SH600881,亚泰集团,2.91,-0.02,-0.68,-6.13,7506307,21883620,0.23,76.114,0,9454338541
SZ000679,*ST友谊,2.92,-0.02,-0.68,4.29,572702,1678755.86,0.16,,0,1040688000
SH603321,梅轮电梯,7.26,-0.05,-0.68,-10.92,2073400,15018351,0.68,47.224,0.689,2228820000
SH601375,中原证券,5.8,-0.04,-0.68,-17.38,107180202,618188068,4.01,,0,26928731260
SH601010,文峰股份,2.94,-0.02,-0.68,-0.34,4512104,13258772,0.24,22.063,3.061,5433120000
SZ002059,云南旅游,4.41,-0.03,-0.68,-6.77,1338620,5897379.8,0.18,3543.044,0.68,4464837525
SH600218,全柴动力,8.76,-0.06,-0.68,-4.05,4669211,41011861,1.27,21.752,0.913,3230293800
SH900913,国新B股,0.29,-0.002,-0.68,-6.75,167300,48689,0.15,,0,314552471
SZ002837,英维克,21.83,-0.15,-0.68,24.74,5485288,121358473.61,2.32,38.938,0.702,7034415373
SH600004,白云机场,13.06,-0.09,-0.68,-7.57,12361714,161978513,0.6,567.492,0.971,30909340776
SZ002588,史丹利,5.88,-0.04,-0.68,2.44,14234290,83540019.99,1.81,34.969,0.34,6802477920
SH601989,中国重工,4.36,-0.03,-0.68,4.06,64901448,284027288,0.35,,0,99416874013
SH600260,凯乐科技,10.06,-0.07,-0.69,-7.71,10722276,107735548,1.1,19.569,0,10031643073
SH600149,ST坊展,4.31,-0.03,-0.69,-9.26,970900,4182196,0.26,165.917,0,1638489600
SZ002474,榕基软件,5.77,-0.04,-0.69,-7.09,2713826,15646291.76,0.57,69.493,0,3590094000
SH601872,招商轮船,5.73,-0.04,-0.69,1.42,24165136,138662320,0.43,8.51,1.745,38620888253
SZ000419,通程控股,4.33,-0.03,-0.69,-7.28,1534705,6667245.8,0.28,11.659,0,2353712896
SZ300668,杰恩设计,12.88,-0.09,-0.69,-11.36,1915400,24913968.5,3.37,39.03,1.802,1357552000
SH601162,天风证券,5.73,-0.04,-0.69,-6.07,67905621,390113992,1.77,46.802,0.105,38195992514
SZ300523,辰安科技,30.05,-0.21,-0.69,-7.91,1019926,30805042.28,0.45,65.454,0.339,6990761022
SZ300799,左江科技,50.65,-0.35,-0.69,-12.42,609000,30866226.5,1.88,55.406,0.263,5166300000
SZ000069,华侨城A,7.15,-0.05,-0.69,0.85,48274466,344420007.05,0.68,5.06,4.26,58642826492
SH600973,宝胜股份,4.34,-0.03,-0.69,-0.23,3822535,16585950,0.31,30.292,0.783,5951729516
SZ000776,广发证券,17.28,-0.12,-0.69,6.14,109404723,1898141852.49,1.85,13.086,2.025,131692394834
SZ000978,桂林旅游,4.33,-0.03,-0.69,-4.42,1534330,6669321.9,0.43,,0.462,1559233000
SH601111,中国国航,7.15,-0.05,-0.69,-4.54,35282348,252647492,0.35,,0.621,103852428573
SZ300281,金明精机,5.66,-0.04,-0.7,-7.36,6493399,36738893.35,1.63,46.829,0.265,2371107463
SZ002902,铭普光磁,12.71,-0.09,-0.7,-2.9,1745050,22215379,1.3,232.587,0.393,2669100000
SH600971,恒源煤电,5.68,-0.04,-0.7,-9.7,20819014,116647249,1.73,8.327,6.162,6816027741
SH600035,楚天高速,2.83,-0.02,-0.7,-2.75,2276060,6462885,0.14,11.781,5.944,4556628000
SZ003816,中国广核,2.83,-0.02,-0.7,0.35,63952945,181073071.35,0.66,15.281,2.686,142911069413
SH603226,菲林格尔,8.52,-0.06,-0.7,-11.43,668384,5708813,0.32,28,0,1792183363
SZ002802,洪汇新材,21.27,-0.15,-0.7,-12,346788,7371215.6,0.58,24.398,3.761,2304530055
SZ002015,协鑫能科,5.64,-0.04,-0.7,-9.47,6093500,34455648,1.52,10.094,0,7627881800
SZ300545,联得装备,24.08,-0.17,-0.7,-11.83,883200,21339106.51,1.18,47.704,0.409,3519495115
SH600650,锦江投资,8.35,-0.06,-0.71,-7.43,730590,6111370,0.19,37.573,2.994,4605944393
SZ300865,大宏立,37.67,-0.27,-0.71,-2.33,1338200,50051828,5.9,47.967,,3604265600
SZ002186,全聚德,9.82,-0.07,-0.71,-2.58,1403155,13747674.6,0.46,,0.611,3029116038
SH600770,综艺股份,5.57,-0.04,-0.71,-9.28,15781088,87405836,1.21,27.823,0,7241000000
SH600397,安源煤业,2.78,-0.02,-0.71,-19.19,17927746,49428788,1.81,,0,2752088472
SZ000961,中南建设,8.36,-0.06,-0.71,-5.32,26042623,217555139.88,0.68,5.722,3.312,31949452078
SH600694,大商股份,19.52,-0.14,-0.71,-3.84,1342200,26236769,0.46,11.516,3.945,5733388107
SZ002728,特一药业,11.19,-0.08,-0.71,-5.89,466095,5196386.11,0.37,34.373,6.702,2277364730
SZ300583,赛托生物,20.85,-0.15,-0.71,-11.5,413000,8610304,0.5,,0.25,2240438147
SZ002950,奥美医疗,21.04,-0.15,-0.71,3.59,4583542,96382048.08,2.05,12.487,1.901,13323904163
SZ300398,飞凯材料,18.06,-0.13,-0.71,1.69,5811141,104876238.74,1.15,38.775,0,9316395805
SZ002397,梦洁股份,4.19,-0.03,-0.71,-16.37,5945300,25070906,1.23,252.287,4.773,3177115446
SZ300195,长荣股份,5.51,-0.04,-0.72,-8.01,5865123,32323622.5,2,,0,2332864332
SH600298,安琪酵母,54.8,-0.4,-0.72,7.3,16943339,929712867,2.06,36.174,0.73,45159635676
SZ000753,漳州发展,2.74,-0.02,-0.72,-5.84,2344223,6433354.02,0.24,21.439,0,2716658135
