,date,open,close,high,low,volume,code
827,2018-05-28,707.948,730.034,730.291,705.108,42805.0,600519
828,2018-05-29,728.457,721.19,739.5,721.042,40820.0,600519
829,2018-05-30,717.039,715.708,726.978,709.969,37147.0,600519
830,2018-05-31,720.027,740.614,741.097,720.017,71852.0,600519
831,2018-06-01,740.614,734.679,744.41,728.417,36177.0,600519
832,2018-06-04,741.817,771.022,771.939,735.438,73805.0,600519
833,2018-06-05,775.489,777.017,783.574,766.349,52629.0,600519
834,2018-06-06,776.968,774.75,789.737,771.348,48969.0,600519
835,2018-06-07,778.92,770.036,784.412,767.995,39167.0,600519
836,2018-06-08,769.08,767.059,774.897,759.22,34958.0,600519
837,2018-06-11,765.185,764.87,774.996,757.573,36547.0,600519
838,2018-06-12,767.108,788.001,792.251,765.629,55287.0,600519
839,2018-06-13,788.8,779.265,791.383,777.836,35244.0,600519
840,2018-06-14,778.94,775.124,782.687,764.328,36159.0,600519
841,2018-06-15,773.2,773.33,778.58,769.1,31707.0,600519
842,2018-06-19,769.0,738.0,769.0,737.0,60195.0,600519
843,2018-06-20,741.0,763.59,765.0,741.0,45838.0,600519
844,2018-06-21,765.22,759.32,778.89,758.77,39182.0,600519
845,2018-06-22,754.0,766.53,767.0,750.0,28854.0,600519
846,2018-06-25,766.0,765.56,778.97,764.9,32934.0,600519
847,2018-06-26,765.31,754.8,769.88,747.0,46577.0,600519
848,2018-06-27,752.0,722.44,757.0,721.0,57298.0,600519
849,2018-06-28,714.0,710.93,719.0,697.0,50833.0,600519
850,2018-06-29,712.3,731.46,732.3,705.0,32929.0,600519
851,2018-07-02,734.52,711.55,739.33,703.0,37558.0,600519
852,2018-07-03,709.76,694.92,715.78,678.23,82837.0,600519
853,2018-07-04,692.0,690.91,700.0,688.0,37990.0,600519
854,2018-07-05,700.0,702.39,716.2,700.0,47123.0,600519
855,2018-07-06,707.0,714.12,720.93,699.26,44156.0,600519
856,2018-07-09,720.03,727.24,729.86,719.73,40572.0,600519
857,2018-07-10,729.0,725.76,731.5,713.33,29010.0,600519
858,2018-07-11,710.0,719.58,724.0,702.22,24278.0,600519
859,2018-07-12,718.0,737.54,741.17,718.0,40170.0,600519
860,2018-07-13,742.3,746.99,748.1,735.12,28907.0,600519
861,2018-07-16,752.3,754.68,764.11,751.03,32474.0,600519
862,2018-07-17,757.0,742.43,757.0,736.02,27806.0,600519
863,2018-07-18,742.43,737.44,749.69,735.0,24521.0,600519
864,2018-07-19,739.0,740.95,743.95,735.02,18078.0,600519
865,2018-07-20,741.5,741.13,743.13,728.0,30548.0,600519
866,2018-07-23,736.0,732.07,741.15,720.01,35969.0,600519
867,2018-07-24,732.68,745.4,747.3,723.0,41808.0,600519
868,2018-07-25,746.95,743.81,749.88,740.01,21743.0,600519
869,2018-07-26,748.9,735.62,748.9,734.23,23067.0,600519
870,2018-07-27,736.0,738.56,744.3,730.0,20913.0,600519
871,2018-07-30,738.9,719.21,740.66,715.0,42171.0,600519
872,2018-07-31,720.3,726.44,727.88,719.21,20683.0,600519
873,2018-08-01,731.4,714.94,732.3,714.11,25237.0,600519
874,2018-08-02,715.97,695.84,715.97,687.88,55001.0,600519
875,2018-08-03,695.0,678.99,695.0,676.2,47336.0,600519
876,2018-08-06,677.0,669.68,684.0,662.25,45248.0,600519
877,2018-08-07,672.3,686.28,687.83,662.02,39085.0,600519
878,2018-08-08,687.02,676.22,689.0,671.87,29685.0,600519
879,2018-08-09,671.0,691.88,694.5,670.12,34485.0,600519
880,2018-08-10,691.88,687.18,694.77,684.2,23817.0,600519
881,2018-08-13,683.0,679.22,683.0,666.68,34570.0,600519
882,2018-08-14,679.22,680.13,684.5,673.51,21696.0,600519
883,2018-08-15,679.8,662.8,680.0,661.0,34997.0,600519
884,2018-08-16,652.0,648.44,668.5,640.0,59939.0,600519
885,2018-08-17,657.5,634.86,657.5,630.01,46574.0,600519
886,2018-08-20,632.45,644.79,645.55,616.86,48852.0,600519
